studytime,absences,G1,G2,G3
3,7,5,9,4
5,10,14,11,2
5,2,4,3,4
6,16,12,13,9
4,11,14,6,5
7,7,20,4,0
5,0,13,14,5
5,10,5,2,1
2,4,6,0,6
1,6,5,9,2
3,0,13,16,10
1,1,11,4,10
8,8,6,0,11
8,1,20,17,11
8,19,4,13,11
10,2,1,9,11
4,13,12,7,10
9,19,8,3,10
5,7,4,3,10
1,22,15,0,11
9,16,16,14,12
7,3,8,3,12
3,19,15,14,13
9,12,3,12,13
12,11,20,20,13
3,4,8,11,13
7,21,0,11,13
7,21,11,2,12
2,8,13,19,12
5,5,4,9,12
8,9,12,18,14
4,8,20,15,15
1,8,9,1,15
12,12,5,12,15
4,13,14,0,15
4,10,19,16,15
10,21,2,20,14
8,18,18,18,14
5,18,0,19,14
8,13,4,18,14
4,2,9,3,16
9,8,10,17,17
2,15,11,1,17
5,3,11,15,16
3,11,1,10,16
9,22,6,1,17
11,20,4,14,16
2,12,2,4,16
12,5,1,4,16
2,7,11,15,16
2,19,19,15,18
1,6,16,18,19
6,13,11,11,19
4,21,19,9,20
6,19,0,17,19
10,20,4,18,20
12,11,19,6,18
6,4,9,3,18
1,17,6,19,18
4,2,20,4,20
